Process,Total project,Project using latest,Total Dockerfile,Dockerfile using latest,Number of changes pinned to latest,Number of changes latest to pinned,File not found or error,Repo not found
216,99,33,202,56,0,0,0,108
218,106,30,243,78,0,0,0,103
173,117,41,250,70,2,2,0,107
228,106,26,168,30,1,1,0,131
185,114,34,199,39,0,2,0,89
180,103,29,138,30,0,2,0,124
183,125,42,151,45,1,1,0,112
191,116,33,211,43,1,2,0,84
200,93,22,144,31,1,0,0,106
232,98,24,180,62,1,1,0,122
187,105,36,448,72,3,2,0,126
224,90,26,164,34,0,0,0,145
195,125,45,200,59,2,1,0,103
212,107,37,150,39,1,0,0,117
202,125,47,215,69,1,4,0,86
210,113,40,292,136,0,0,0,99
207,100,27,194,42,2,0,0,127
227,108,39,170,67,1,1,0,111
203,121,45,257,97,1,1,0,106
178,106,32,172,50,2,0,0,101
193,124,41,334,61,0,0,0,84
250,108,31,340,90,1,0,0,123
230,98,28,215,60,1,3,0,117
223,102,30,137,40,2,2,0,116
245,96,32,119,43,0,1,0,122
192,108,37,550,182,2,3,0,103
226,107,32,171,53,2,4,0,114
198,118,28,163,29,1,2,0,97
215,94,27,176,34,1,3,0,128
208,116,33,311,46,1,0,0,99
220,103,31,177,43,0,0,0,97
186,120,36,177,46,1,1,0,92
194,92,31,198,36,0,0,0,108
293,78,24,116,31,0,2,0,141
300,95,34,173,40,1,0,0,135
233,99,37,301,47,1,1,0,104
174,113,36,211,87,0,1,0,103
244,107,36,212,68,2,1,0,120
273,107,32,143,35,2,2,0,106
270,100,31,179,32,0,1,0,135
181,117,27,798,51,0,1,0,81
229,93,29,162,48,1,3,0,121
234,103,27,149,33,0,1,0,117
225,107,37,153,51,2,2,0,111
209,131,38,201,70,1,2,0,97
176,116,32,132,33,0,1,0,107
175,117,48,179,65,1,2,0,90
267,98,19,144,26,0,0,0,117
211,117,30,189,76,3,2,0,127
269,93,18,150,22,2,3,0,105
179,116,26,175,36,2,1,0,107
201,98,36,142,48,1,0,0,107
260,124,34,279,109,2,0,0,123
283,103,28,125,30,0,1,0,134
252,85,29,153,36,0,1,0,118
240,115,46,220,83,1,1,0,97
309,97,32,156,39,1,2,0,146
253,88,24,234,68,1,3,0,142
272,90,20,130,22,0,2,0,123
296,106,40,212,76,1,2,0,110
231,94,26,150,29,1,1,0,122
325,92,28,138,35,1,2,0,135
248,117,34,163,36,0,2,0,88
221,104,30,257,50,1,4,0,126
213,100,25,178,40,2,2,0,105
249,112,36,338,71,0,1,0,108
280,102,33,128,38,0,0,0,116
235,100,26,446,335,0,1,0,123
205,104,26,195,53,0,1,0,84
219,105,33,275,62,2,2,0,99
204,106,29,192,32,0,1,0,113
241,108,34,132,35,0,0,0,103
196,108,23,163,31,0,2,0,108
304,115,40,174,53,1,0,0,114
271,110,36,169,49,1,3,0,144
338,83,33,101,39,1,4,0,177
242,107,30,133,31,0,1,0,118
197,126,42,255,63,0,0,0,103
286,80,23,125,28,0,2,0,106
265,128,32,143,36,0,2,0,90
317,100,36,128,41,1,1,0,145
288,90,33,139,59,0,0,0,137
307,93,26,113,30,1,0,0,129
277,121,33,188,66,0,4,0,124
182,119,41,182,61,1,4,0,93
319,114,31,171,42,0,1,0,140
303,81,23,112,26,0,0,0,136
306,103,30,152,54,0,2,0,139
237,128,36,174,46,0,0,0,94
315,95,28,130,29,1,3,0,130
323,91,23,156,34,2,2,0,141
278,106,33,154,46,1,2,0,124
243,90,25,131,34,2,2,0,130
298,98,20,126,21,0,0,0,118
312,102,29,121,32,1,3,0,136
287,99,35,135,40,1,1,0,116
236,105,34,215,63,3,1,0,115
331,101,31,203,41,2,2,0,131
266,115,31,127,35,2,3,0,100
256,116,35,138,39,0,2,0,96
292,91,26,112,29,1,0,0,122
259,117,31,182,38,0,1,0,113
275,114,33,186,41,1,3,0,89
254,96,32,131,36,3,4,0,144
285,99,34,200,65,1,3,0,133
318,95,27,155,31,0,0,0,150
251,102,36,178,43,0,0,0,107
332,89,37,137,47,0,0,0,150
214,108,39,175,51,2,3,0,99
299,99,33,190,77,2,3,0,111
238,130,25,211,35,0,0,0,96
274,127,49,236,59,2,0,0,91
289,108,37,262,152,0,3,0,106
335,95,29,133,34,0,1,0,139
297,118,29,575,109,0,0,0,88
322,81,22,98,26,0,0,0,144
314,103,34,142,36,1,1,0,123
188,101,26,179,48,0,2,0,98
217,99,34,140,46,0,0,0,117
268,95,26,143,28,2,0,0,127
310,84,25,115,33,0,0,0,152
316,92,28,107,30,0,0,0,154
281,121,33,145,35,2,1,0,102
222,121,45,216,76,1,1,0,104
308,94,20,124,20,0,1,0,132
165,119,33,393,50,0,0,0,83
301,107,38,329,64,0,4,0,112
190,111,29,230,37,1,1,0,85
282,106,35,309,66,2,2,0,86
326,100,33,209,50,2,2,0,120
321,86,24,150,35,2,4,0,148
206,115,46,200,61,1,1,0,96
295,117,30,167,43,1,0,0,98
199,112,30,534,49,3,2,0,85
276,128,34,449,147,2,1,0,81
290,104,29,198,58,1,1,0,107
239,105,29,193,33,1,2,0,139
294,95,30,142,35,0,0,0,105
311,102,34,133,41,0,1,0,143
336,87,33,205,53,0,1,0,144
320,88,27,98,32,0,0,0,148
279,107,38,209,65,2,0,0,76
291,101,25,211,76,2,1,0,97
302,111,28,155,30,0,0,0,108
246,93,27,310,34,0,1,0,115
305,108,34,312,87,0,1,0,139
284,94,24,129,31,0,3,0,140
324,96,36,115,38,0,1,0,139
262,117,33,228,37,0,2,0,83
334,94,37,126,53,0,3,0,130
333,99,25,143,44,1,0,0,139
263,103,32,206,45,2,1,0,102
247,125,52,295,83,1,2,0,92
257,126,39,202,77,1,4,0,104
258,118,40,251,72,1,5,0,122
328,138,38,300,58,0,3,0,93
261,128,31,424,196,2,1,0,84
330,103,36,114,40,1,1,0,145
340,81,28,116,29,1,1,0,147
339,109,31,151,41,0,1,0,113
337,109,31,190,34,0,0,0,122
255,124,39,322,63,0,1,0,110
327,139,43,176,48,2,0,0,111
342,98,28,144,40,1,1,0,143
343,81,27,201,50,1,1,0,140
